GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Acanthorrhinum,Plantaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Acanthorrhinum/
Acanthorrhiza,Arecaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acanthorrhiza/
Acanthorrhynchium,Sematophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acanthorrhynchium/
Acanthoscyphus,Polygonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acanthoscyphus/
Acanthosicyos,Cucurbitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Acanthosicyos/
Acanthospermum,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acanthospermum/
Acanthosphaera,Moraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Acanthosphaera/
Acanthostachys,Bromeliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Bromeliaceae/Acanthostachys/
Acanthostyles,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acanthostyles/
Acanthosyris,Santalaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Santalaceae/Acanthosyris/
Acanthothamnus,Celastraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Celastraceae/Acanthothamnus/
Acanthotrichilia,Meliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Meliaceae/Acanthotrichilia/
Acanthoxanthium,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acanthoxanthium/
Acanthura,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthura/
Acanthus,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthus/
Acanthyllis,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acanthyllis/
Acareosperma,Vitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Vitaceae/Acareosperma/
Acarna,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acarna/
Acarphaea,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acarphaea/
Acaulimalva,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Acaulimalva/
Acaulon,Pottiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Acaulon/
Acaulonopsis,Pottiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Acaulonopsis/
Acca,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Acca/
Accara,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Accara/
Accorombona,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Accorombona/
Acelica,Acanthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acelica/
Acentra,Violaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Violaceae/Acentra/
Acer,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Acer/
Aceras,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Aceras/
Acerates,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acerates/
Aceratium,Elaeocarpaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Elaeocarpaceae/Aceratium/
Aceratoglossum,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Aceratoglossum/
Aceriphyllum,Saxifragaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Saxifragaceae/Aceriphyllum/
Acetosa,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acetosa/
Acetosella,Oxalidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Oxalidaceae/Acetosella/
Acetosella,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acetosella/
Achaetogeron,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achaetogeron/
Achania,Malvaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Achania/
Acharagma,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acharagma/
Acharia,Achariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Achariaceae/Acharia/
Achatocarpus,Achatocarpaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Achatocarpaceae/Achatocarpus/
Achetaria,Plantaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Achetaria/
Achicodonia,Gesneriaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achicodonia/
Achillea,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achillea/
Achimenantha,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achimenantha/
Achimenes,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achimenes/
Achlyphila,Xyridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Xyridaceae/Achlyphila/
Achlys,Berberidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Berberidaceae/Achlys/
Achnatherum,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achnatherum/
Achnella,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achnella/
Achneria,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achneria/
Achnophora,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achnophora/
Achnopogon,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achnopogon/
Achomanes,Hymenophyllaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Hymenophyllaceae/Achomanes/
Achoriphragma,Brassicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Achoriphragma/
Achras,Sapotaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Sapotaceae/Achras/
Achrophyllum,Hookeriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Hookeriaceae/Achrophyllum/
Achuaria,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Achuaria/
Achudemia,Urticaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Urticaceae/Achudemia/
Achymus,Moraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Achymus/
Achyrachaena,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achyrachaena/
Achyranthes,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Achyranthes/
Achyrocalyx,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Achyrocalyx/
Achyrocline,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achyrocline/
Achyronia,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Achyronia/
Achyronychia,Caryophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Achyronychia/
Achyropappus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achyropappus/
Achyrophorus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Achyrophorus/
Achyrophyllum,Ptychomniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Ptychomniaceae/Achyrophyllum/
Achyropsis,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Achyropsis/
Achyrospermum,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Achyrospermum/
Aciachne,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Aciachne/
Acianthera,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acianthera/
Acianthus,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acianthus/
Acicarpha,Calyceraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Calyceraceae/Acicarpha/
Acidanthera,Iridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Iridaceae/Acidanthera/
Acidocroton,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acidocroton/
Acidodontium,Bryaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Bryaceae/Acidodontium/
Acidonia,Proteaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Proteaceae/Acidonia/
Acidosasa,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acidosasa/
Acidoton,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acidoton/
Acilepidopsis,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acilepidopsis/
Acilepis,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acilepis/
Acineta,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acineta/
Acinodendron,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acinodendron/
Acinolis,Melastomataceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acinolis/
Acinos,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acinos/
Acioa,Chrysobalanaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Chrysobalanaceae/Acioa/
Aciotis,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Aciotis/
Acipetalum,Melastomataceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acipetalum/
Aciphylla,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Aciphylla/
Acis,Amaryllidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaryllidaceae/Acis/
Acisanthera,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acisanthera/
Ackama,Cunoniaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cunoniaceae/Ackama/
Acleisanthes,Nyctaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Acleisanthes/
Aclisia,Commelinaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Commelinaceae/Aclisia/
Acmadenia,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acmadenia/
Acmanthera,Malpighiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acmanthera/
Acmella,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acmella/
Acmena,Myrtaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Acmena/
Acmispon,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acmispon/
Acmopyle,Podocarpaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/G/Podocarpaceae/Acmopyle/
Acnida,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Acnida/
Acnistus,Solanaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Solanaceae/Acnistus/
Acoelorrhaphe,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acoelorrhaphe/
Acokanthera,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acokanthera/
Acolea,Gymnomitriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Gymnomitriaceae/Acolea/
Acomastylis,Rosaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Acomastylis/
Acome,Capparaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Capparaceae/Acome/
Acomis,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acomis/
Aconiopteris,Dryopteridaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Aconiopteris/
Aconitella,Ranunculaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Aconitella/
Aconitum,Ranunculaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Aconitum/
Aconogonon,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Aconogonon/
Aconogonum,Polygonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Aconogonum/
