"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"239","Burchardiaceae","Liliales",NA
"240","Burmanniaceae","Dioscoreales",45
"241","Burseraceae","Sapindales",238
"242","Butneriaceae","Laurales",NA
"243","Butomaceae","Alismatales",33
"244","Buxaceae","Buxales",121
"245","Byblidaceae","Lamiales",383
"246","Byttneriaceae","Malvales",NA
"247","Cabombaceae","Nymphaeales",3
"248","Cacaoaceae","Malvales",NA
"249","Cactaceae","Caryophyllales",316
"250","Caesalpiniaceae","Fabales",NA
"251","Caladiaceae","Alismatales",NA
"252","Calamaceae","Arecales",NA
"253","Calceolariaceae","Lamiales",366
"254","Calectasiaceae","unplacedCommelinid",NA
"255","Calendulaceae","Asterales",NA
"256","Callaceae","Alismatales",NA
"257","Callicomaceae","Oxalidales",NA
"258","Calligonaceae","Caryophyllales",NA
"259","Callitraceae","Pinales",NA
"260","Callitrichaceae","Lamiales",NA
"261","Calochortaceae","Liliales",NA
"262","Calophyllaceae","Malpighiales",210
"263","Calthaceae","Ranunculales",NA
"264","Calycanthaceae","Laurales",22
"265","Calyceraceae","Asterales",399
"266","Cambogiaceae","Malpighiales",NA
"267","Camelliaceae","Ericales",NA
"268","Campanulaceae","Asterales",391
"269","Campynemataceae","Liliales",52
"270","Canacomyricaceae","Fagales",NA
"271","Canellaceae","Canellales",9
"272","Cannabaceae","Rosales",153
"273","Cannaceae","Zingiberales",86
"274","Canopodaceae","Santalales",NA
"275","Canotiaceae","Celastrales",NA
"276","Cansjeraceae","Santalales",NA
"277","Capparaceae","Brassicales",271
"278","Caprariaceae","Lamiales",NA
"279","Caprifoliaceae","Dipsacales",406
"280","Cardiopteridaceae","Aquifoliales",386
"281","Carduaceae","Asterales",NA
"282","Caricaceae","Brassicales",260
"283","Carissaceae","Gentianales",NA
"284","Carlemanniaceae","Lamiales",363
"285","Carlinaceae","Asterales",NA
"286","Carpinaceae","Fagales",NA
"287","Carpodetaceae","Asterales",NA
"288","Cartonemataceae","Commelinales",NA
"289","Caryocaraceae","Malpighiales",205
"290","Caryophyllaceae","Caryophyllales",296
"291","Cassiaceae","Fabales",NA
"292","Cassipoureaceae","Malpighiales",NA
"293","Cassythaceae","Laurales",NA
"294","Castaneaceae","Fagales",NA
"295","Castelaceae","Sapindales",NA
"296","Casuarinaceae","Fagales",160
"297","Catesbaeaceae","Gentianales",NA
"298","Cathedraceae","Santalales",NA
"299","Caucaulidaceae","Apiales",NA
"300","Cecropiaceae","Rosales",NA
"301","Cedraceae","Pinales",NA
"302","Cedrelaceae","Sapindales",NA
"303","Celastraceae","Celastrales",172
"304","Celosiaceae","Caryophyllales",NA
"305","Celtidaceae","Rosales",NA
"306","Centaureaceae","Asterales",NA
"307","Centrolepidaceae","Poales",101
"308","Centroplacaceae","Malpighiales",185
"309","Cepaceae","Asparagales",NA
"310","Cephalanthaceae","Gentianales",NA
"311","Cephalotaceae","Oxalidales",178
"312","Cephalotaxaceae","Pinales",NA
"313","Cerastiaceae","Caryophyllales",NA
"314","Ceratoniaceae","Fabales",NA
"315","Ceratophyllaceae","Ceratophyllales",107
"316","Cerberaceae","Gentianales",NA
"317","Cercidiphyllaceae","Saxifragales",129
"318","Cercocarpaceae","Rosales",NA
"319","Cercodiaceae","Saxifragales",NA
"320","Cereaceae","Caryophyllales",NA
"321","Cerinthaceae","Boraginales",NA
"322","Ceroxylaceae","Arecales",NA
"323","Cervantesiaceae","Santalales",NA
"324","Cestraceae","Solanales",NA
"325","Cevalliaceae","Cornales",NA
"326","Chaeturaceae","Poales",NA
"327","Chailletiaceae","Malpighiales",NA
"328","Chamaedoraceae","Arecales",NA
"329","Chamaemoraceae","Rosales",NA
"330","Chamelauciaceae","Myrtales",NA
"331","Chaunochitonaceae","Santalales",NA
"332","Cheilosaceae","Malpighiales",NA
"333","Chelidoniaceae","Ranunculales",NA
"334","Chelonaceae","Lamiales",NA
"335","Chenopodiaceae","Caryophyllales",NA
"336","Chimonanthaceae","Laurales",NA
"337","Chingithamnaceae","Celastrales",NA
"338","Chionographidaceae","Liliales",NA
"339","Chiranthodendraceae","Malvales",NA
"340","Chironiaceae","Gentianales",NA
"341","Chlaenaceae","Malvales",NA
"342","Chloanthaceae","Lamiales",NA
"343","Chloranthaceae","Chloranthales",8
"344","Chloridaceae","Poales",NA
"345","Chlorogalaceae","Asparagales",NA
"346","Chrysobalanaceae","Malpighiales",196
"347","Chrysospleniaceae","Saxifragales",NA
"348","Ciceraceae","Fabales",NA
"349","Cichoriaceae","Asterales",NA
"350","Cimicifugaceae","Ranunculales",NA
"351","Cinchoniaceae","Gentianales",NA
"352","Circaeaceae","Myrtales",NA
"353","Circaeasteraceae","Ranunculales",110
"354","Cissaceae","Vitales",NA
"355","Cistaceae","Malvales",255
"356","Citraceae","Sapindales",NA
"357","Clematidaceae","Ranunculales",NA
"358","Cleomaceae","Brassicales",272
"359","Clethraceae","Ericales",341
"360","Clusiaceae","Malpighiales",211
"361","Cneoraceae","Sapindales",NA
"362","Cnestidaceae","Oxalidales",NA
"363","Cnicaceae","Asterales",NA
"364","Cobaeaceae","Ericales",NA
"365","Cochlospermaceae","Malvales",NA
"366","Cocosaceae","Arecales",NA
"367","Codonaceae","Boraginales",NA
"368","Coeleanthaceae","Poales",NA
"369","Coffeaceae","Gentianales",NA
"370","Colchicaceae","Liliales",56
"371","Coleogynaceae","Rosales",NA
"372","Colocasiaceae","Alismatales",NA
"373","Columelliaceae","Bruniales",402
"374","Comandraceae","Santalales",NA
"375","Combretaceae","Myrtales",218
"376","Commelinaceae","Commelinales",78
"377","Comocladiaceae","Sapindales",NA
"378","Compositae","Asterales",NA
"379","Compsoaceae","Liliales",NA
"380","Conantheraceae","Asparagales",NA
"381","Connaraceae","Oxalidales",174
"382","Conostylidaceae","Commelinales",NA
"383","Convallariaceae","Asparagales",NA
"384","Convolvulaceae","Solanales",357
"385","Cordiaceae","Boraginales",NA
"386","Coreopsidaceae","Asterales",NA
"387","Coriandraceae","Apiales",NA
"388","Coriariaceae","Cucurbitales",166
"389","Coridaceae","Ericales",NA
"390","Corispermaceae","Caryophyllales",NA
"391","Cornaceae","Cornales",320
"392","Corokiaceae","Asterales",NA
"393","Coronillaceae","Fabales",NA
"394","Correaceae","Sapindales",NA
"395","Corrigiolaceae","Caryophyllales",NA
"396","Corsiaceae","Liliales",60
"397","Corydalaceae","Ranunculales",NA
"398","Corylaceae","Fagales",NA
"399","Corynocarpaceae","Cucurbitales",165
"400","Coryphaceae","Arecales",NA
"401","Costaceae","Zingiberales",88
"402","Cotyledonaceae","Saxifragales",NA
