"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"1339","Saxegotheaceae","Pinales",NA
"1340","Saxifragaceae","Saxifragales",133
"1341","Scabiosaceae","Dipsacales",NA
"1342","Scaevolaceae","Asterales",NA
"1343","Scandicaceae","Apiales",NA
"1344","Scepaceae","Malpighiales",NA
"1345","Scheuchzeriaceae","Alismatales",35
"1346","Schinaceae","Sapindales",NA
"1347","Schisandraceae","Austrobaileyales",7
"1348","Schizolaenaceae","Malvales",NA
"1349","Schizopetalaceae","Brassicales",NA
"1350","Schlegeliaceae","Lamiales",381
"1351","Schoepfiaceae","Santalales",282
"1352","Schreberaceae","Lamiales",NA
"1353","Sciadopityaceae","Pinales",NA
"1354","Scillaceae","Asparagales",NA
"1355","Scirpaceae","Poales",NA
"1356","Scleranthaceae","Caryophyllales",NA
"1357","Scleriaceae","Poales",NA
"1358","Sclerophylacaceae","Solanales",NA
"1359","Scoliopaceae","Liliales",NA
"1360","Scopariaceae","Lamiales",NA
"1361","Scorodocarpaceae","Santalales",NA
"1362","Scrophulariaceae","Lamiales",369
"1363","Scutellariaceae","Lamiales",NA
"1364","Scybaliaceae","Santalales",NA
"1365","Scyphostegiaceae","Malpighiales",NA
"1366","Scytopetalaceae","Ericales",NA
"1367","Sebestenaceae","Boraginales",NA
"1368","Sedaceae","Saxifragales",NA
"1369","Seguieriaceae","Caryophyllales",NA
"1370","Selaginaceae","Lamiales",NA
"1371","Selinaceae","Apiales",NA
"1372","Sempervivaceae","Saxifragales",NA
"1373","Senecionaceae","Asterales",NA
"1374","Sequoiaceae","Pinales",NA
"1375","Serratulaceae","Asterales",NA
"1376","Sesamaceae","Lamiales",NA
"1377","Sesleriaceae","Poales",NA
"1378","Sesuviaceae","Caryophyllales",NA
"1379","Setchellanthaceae","Brassicales",262
"1380","Sheadendraceae","Myrtales",NA
"1381","Sibthorpiaceae","Lamiales",NA
"1382","Sidaceae","Malvales",NA
"1383","Silenaceae","Caryophyllales",NA
"1384","Sileraceae","Apiales",NA
"1385","Simabaceae","Sapindales",NA
"1386","Simaroubaceae","Sapindales",242
"1387","Simmondsiaceae","Caryophyllales",293
"1388","Sinofranchetiaceae","Ranunculales",NA
"1389","Siparunaceae","Laurales",23
"1390","Siphonanthaceae","Lamiales",NA
"1391","Siphonodontaceae","Celastrales",NA
"1392","Sisymbriaceae","Brassicales",NA
"1393","Sladeniaceae","Ericales",329
"1394","Smeathmanniaceae","Malpighiales",NA
"1395","Smilacaceae","Liliales",59
"1396","Smyrniaceae","Apiales",NA
"1397","Solanaceae","Solanales",358
"1398","Sonneratiaceae","Myrtales",NA
"1399","Soramiaceae","Dilleniales",NA
"1400","Sorbaceae","Rosales",NA
"1401","Soulameaceae","Sapindales",NA
"1402","Sparganiaceae","Poales",NA
"1403","Sparmanniaceae","Malvales",NA
"1404","Spartinaceae","Poales",NA
"1405","Spatheliaceae","Sapindales",NA
"1406","Spergulaceae","Caryophyllales",NA
"1407","Spermacoceaceae","Gentianales",NA
"1408","Sphaerosepalaceae","Malvales",251
"1409","Sphenocleaceae","Solanales",360
"1410","Sphenostemonaceae","Paracryphiales",NA
"1411","Spigeliaceae","Gentianales",NA
"1412","Spinaciaceae","Caryophyllales",NA
"1413","Spiraeaceae","Rosales",NA
"1414","Spiraeanthemaceae","Oxalidales",NA
"1415","Spondiadaceae","Sapindales",NA
"1416","Sporobolaceae","Poales",NA
"1417","Stachydaceae","Lamiales",NA
"1418","Stachyuraceae","Crossosomatales",232
"1419","Stackhousiaceae","Celastrales",NA
"1420","Stangeriaceae","Cycadales",NA
"1421","Stanleyaceae","Brassicales",NA
"1422","Stapeliaceae","Gentianales",NA
"1423","Staphyleaceae","Crossosomatales",230
"1424","Staticaceae","Caryophyllales",NA
"1425","Stegnospermataceae","Caryophyllales",299
"1426","Stellariaceae","Caryophyllales",NA
"1427","Stemonaceae","Pandanales",49
"1428","Stemonuraceae","Aquifoliales",385
"1429","Stenomeridaceae","Dioscoreales",NA
"1430","Sterculiaceae","Malvales",NA
"1431","Stilaginaceae","Malpighiales",NA
"1432","Stilbaceae","Lamiales",370
"1433","Stipaceae","Poales",NA
"1434","Stixaceae","nearResedaceae,Brassicales",NA
"1435","Strasburgeriaceae","Crossosomatales",229
"1436","Stratiotaceae","Alismatales",NA
"1437","Strelitziaceae","Zingiberales",82
"1438","Streptochaetaceae","Poales",NA
"1439","Strombosiaceae","Santalales",NA
"1440","Strumariaceae","Asparagales",NA
"1441","Strychnaceae","Gentianales",NA
"1442","Stylidiaceae","Asterales",393
"1443","Stylobasiaceae","Fabales",NA
"1444","Stylocerataceae","Buxales",NA
"1445","Stypheliaceae","Ericales",NA
"1446","Styracaceae","Ericales",337
"1447","Surianaceae","Fabales",145
"1448","Swartziaceae","Fabales",NA
"1449","Swieteniaceae","Sapindales",NA
"1450","Symphoremataceae","Lamiales",NA
"1451","Symplocaceae","Ericales",335
"1452","Synechanthaceae","Arecales",NA
"1453","Syringaceae","Lamiales",NA
"1454","Taccaceae","Dioscoreales",NA
"1455","Taiwaniaceae","Pinales",NA
"1456","Taktajaniaceae","Canellales",NA
"1457","Talinaceae","Caryophyllales",313
"1458","Tamaceae","Dioscoreales",NA
"1459","Tamaricaceae","Caryophyllales",284
"1460","Tamarindaceae","Fabales",NA
"1461","Tamnaceae","Dioscoreales",NA
"1462","Tanacetaceae","Asterales",NA
"1463","Tapisciaceae","Huerteales",245
"1464","Taxaceae","Pinales",NA
"1465","Taxodiaceae","Pinales",NA
"1466","Tecophilaeaceae","Asparagales",68
"1467","Telephiaceae","Caryophyllales",NA
"1468","Tepuianthaceae","Malvales",NA
"1469","Terminaliaceae","Myrtales",NA
"1470","Ternstroemiaceae","Ericales",NA
"1471","Tetracarpaeaceae","Saxifragales",136
"1472","Tetracentraceae","Trochodendrales",NA
"1473","Tetrachondraceae","Lamiales",365
"1474","Tetraclinaceae","Pinales",NA
"1475","Tetradiclidaceae","Sapindales",NA
"1476","Tetragoniaceae","Caryophyllales",NA
"1477","Tetramelaceae","Cucurbitales",168
"1478","Tetrameristaceae","Ericales",325
"1479","Tetrastylidiaceae","Santalales",NA
"1480","Tetrathecaceae","Oxalidales",NA
"1481","Thalassiaceae","Alismatales",NA
"1482","Thalictraceae","Ranunculales",NA
"1483","Theaceae","Ericales",334
"1484","Theligonaceae","Gentianales",NA
"1485","Themidaceae","Asparagales",NA
"1486","Theobromataceae","Malvales",NA
"1487","Theophrastaceae","Ericales",NA
"1488","Thesiaceae","Santalales",NA
"1489","Thismiaceae","Dioscoreales",NA
"1490","Thlaspiaceae","Brassicales",NA
"1491","Thoaceae","Gnetales",NA
"1492","Thomandersiaceae","Lamiales",380
"1493","Thujaceae","Pinales",NA
"1494","Thujopsidaceae","Pinales",NA
"1495","Thunbergiaceae","Lamiales",NA
"1496","Thurniaceae","Poales",97
"1497","Thymelaeaceae","Malvales",252
"1498","Ticodendraceae","Fagales",161
"1499","Tiliaceae","Malvales",NA
"1500","Tillaeaceae","Saxifragales",NA
"1501","Tillandsiaceae","Poales",NA
"1502","Tinaceae","Dipsacales",NA
"1503","Tithymalaceae","Malpighiales",NA
"1504","Tofieldiaceae","Alismatales",31
"1505","Tormentillaceae","Rosales",NA
"1506","Torreyaceae","Pinales",NA
"1507","Torricelliaceae","Apiales",408
"1508","Tovariaceae","Brassicales",267
"1509","Tradescantiaceae","Commelinales",NA
"1510","Tragiaceae","Malpighiales",NA
"1511","Trapaceae","Myrtales",NA
"1512","Trapellaceae","Lamiales",NA
"1513","Tremandraceae","Oxalidales",NA
"1514","Trewiaceae","Malpighiales",NA
"1515","Tribelaceae","Escalloniales",NA
"1516","Tribulaceae","Zygophyllales",NA
"1517","Trichopodaceae","Dioscoreales",NA
"1518","Tricyrtidaceae","Liliales",NA
"1519","Trifoliaceae","Fabales",NA
"1520","Triglochinaceae","Alismatales",NA
"1521","Trigoniaceae","Malpighiales",193
"1522","Trilliaceae","Liliales",NA
"1523","Trimeniaceae","Austrobaileyales",6
"1524","Triplobaceae","Malvales",NA
"1525","Triplochitonaceae","Malvales",NA
"1526","Triplostegiaceae","Dipsacales",NA
"1527","Tristichaceae","Malpighiales",NA
"1528","Triticaceae","Poales",NA
"1529","Triuridaceae","Pandanales",47
"1530","Trochodendraceae","Trochodendrales",119
"1531","Tropaeolaceae","Brassicales",258
"1532","Tulbaghiaceae","Asparagales",NA
"1533","Tulipaceae","Liliales",NA
"1534","Tumboaceae","Gnetales",NA
"1535","Tupistraceae","Asparagales",NA
"1536","Turneraceae","Malpighiales",NA
"1537","Tussilagaceae","Asterales",NA
"1538","Typhaceae","Poales",91
"1539","Uapacaceae","Malpighiales",NA
"1540","Ullucaceae","Caryophyllales",NA
"1541","Ulmaceae","Rosales",152
"1542","Ulmariaceae","Rosales",NA
"1543","Umbelliferae","Apiales",NA
"1544","Unisemataceae","Commelinales",NA
"1545","Urticaceae","Rosales",155
"1546","Utriculariaceae","Lamiales",NA
"1547","Uvulariaceae","Liliales",NA
"1548","Vacciniaceae","Ericales",NA
"1549","Vahliaceae","unplacedasteridI",355
"1550","Valerianaceae","Dipsacales",NA
"1551","Vallisneriaceae","Alismatales",NA
"1552","Vanillaceae","Asparagales",NA
"1553","Velloziaceae","Pandanales",48
"1554","Veratraceae","Liliales",NA
"1555","Verbascaceae","Lamiales",NA
"1556","Verbenaceae","Lamiales",382
"1557","Vernicaceae","Sapindales",NA
"1558","Vernoniaceae","Asterales",NA
"1559","Veronicaceae","Lamiales",NA
"1560","Viburnaceae","Dipsacales",NA
"1561","Viciaceae","Fabales",NA
"1562","Vincaceae","Gentianales",NA
"1563","Violaceae","Malpighiales",202
"1564","Viscaceae","Santalales",NA
"1565","Vitaceae","Vitales",140
"1566","Viticaceae","Lamiales",NA
"1567","Vivianiaceae","Geraniales",216
"1568","Vochysiaceae","Myrtales",221
"1569","Wachendorfiaceae","Commelinales",NA
"1570","Walleriaceae","Asparagales",NA
"1571","Wellingtoniaceae","Sabiales",NA
"1572","Wellstediaceae","Boraginales",NA
"1573","Welwitschiaceae","Gnetales",NA
"1574","Widdringtoniaceae","Pinales",NA
"1575","Willughbieaceae","Gentianales",NA
"1576","Winteraceae","Canellales",10
"1577","Wolffiaceae","Alismatales",NA
"1578","Xanthiaceae","Asterales",NA
"1579","Xanthoceraceae","Sapindales",NA
"1580","Xanthophyllaceae","Fabales",NA
"1581","Xanthorrhoeaceae","Asparagales",73
"1582","Xeranthemaceae","Asterales",NA
"1583","Xeronemataceae","Asparagales",72
"1584","Xerophyllaceae","Liliales",NA
"1585","Ximeniaceae","Santalales",NA
"1586","Xiphidiaceae","Commelinales",NA
"1587","Xyridaceae","Poales",94
"1588","Yuccaceae","Asparagales",NA
"1589","Zamiaceae","Cycadales",NA
"1590","Zannichelliaceae","Alismatales",NA
"1591","Zanoniaceae","Cucurbitales",NA
"1592","Zanthoxylaceae","Sapindales",NA
"1593","Zeaceae","Poales",NA
"1594","Zephyranthaceae","Asparagales",NA
"1595","Zingiberaceae","Zingiberales",89
"1596","Ziziphaceae","Rosales",NA
"1597","Zosteraceae","Alismatales",38
"1598","Zoysiaceae","Poales",NA
"1599","Zygophyllaceae","Zygophyllales",142
"1600","Guametalaceae",NA,231
"1601","Ripogonaceae",NA,58
