"","KEW_FAMILY_EXT","QUERY","KEW_GENUS_EXT"
"271","Acanthaceae","Kalbreyeracanthus","Habracanthus"
"272","Acanthaceae","Kalbreyeriella","Kalbreyeriella"
"273","Acanthaceae","Kanjarum","Strobilanthes"
"274","Acanthaceae","Kita","Hygrophila"
"275","Acanthaceae","Kjellbergia","Strobilanthes"
"276","Acanthaceae","Kolobochilus","Kolobochilus"
"277","Acanthaceae","Kosmosiphon","Kosmosiphon"
"278","Acanthaceae","Kudoacanthus","Kudoacanthus"
"279","Acanthaceae","Kuestera","Justicia"
"280","Acanthaceae","Kuniria","Kuniria"
"281","Acanthaceae","Lagochilium","Aphelandra"
"282","Acanthaceae","Lamiacanthus","Strobilanthes"
"283","Acanthaceae","Lankesteria","Lankesteria"
"284","Acanthaceae","Larsenia","Strobilanthes"
"285","Acanthaceae","Lasiocladus","Lasiocladus"
"286","Acanthaceae","Leandriella","Leandriella"
"287","Acanthaceae","Leda","Isoglossa"
"288","Acanthaceae","Leiophaca","Whitfieldia"
"289","Acanthaceae","Lepidacanthus","Aphelandra"
"290","Acanthaceae","Lepidagathis","Lepidagathis"
"291","Acanthaceae","Leptacanthus","Strobilanthes"
"292","Acanthaceae","Leptosiphonium","Leptosiphonium"
"293","Acanthaceae","Leptostachya","Leptostachya"
"294","Acanthaceae","Leucobarleria","Neuracanthus"
"295","Acanthaceae","Leucoraphis","Brillantaisia"
"296","Acanthaceae","Liberatia","Lophostachys"
"297","Acanthaceae","Libonia","Justicia"
"298","Acanthaceae","Linariantha","Linariantha"
"299","Acanthaceae","Lindauea","Lindauea"
"300","Acanthaceae","Linocalix","Linocalix"
"301","Acanthaceae","Linocalyx","Justicia"
"302","Acanthaceae","Linostylis","Linostylis"
"303","Acanthaceae","Lirayea","Mendoncia"
"304","Acanthaceae","Lissospermum","Strobilanthes"
"305","Acanthaceae","Listrobanthes","Strobilanthes"
"306","Acanthaceae","Lophostachys","Lophostachys"
"307","Acanthaceae","Lophothecium","Justicia"
"308","Acanthaceae","Louteridium","Louteridium"
"309","Acanthaceae","Lundellia","Holographis"
"310","Acanthaceae","Lustrinia","Justicia"
"311","Acanthaceae","Lychniothyrsus","Lychniothyrsus"
"312","Acanthaceae","Mackaya","Mackaya"
"313","Acanthaceae","Mackenziea","Strobilanthes"
"314","Acanthaceae","Macrorungia","Anisotes"
"315","Acanthaceae","Mananthes","Justicia"
"316","Acanthaceae","Marcania","Marcania"
"317","Acanthaceae","Megalochlamys","Megalochlamys"
"318","Acanthaceae","Megalostoma","Megalostoma"
"319","Acanthaceae","Megaskepasma","Megaskepasma"
"320","Acanthaceae","Melittacanthus","Melittacanthus"
"321","Acanthaceae","Mellera","Mellera"
"322","Acanthaceae","Mendoncia","Mendoncia"
"323","Acanthaceae","Mendozia","Mendozia"
"324","Acanthaceae","Meninia","Meninia"
"325","Acanthaceae","Metarungia","Metarungia"
"326","Acanthaceae","Mexacanthus","Mexacanthus"
"327","Acanthaceae","Microstrobilus","Strobilanthes"
"328","Acanthaceae","Mimulopsis","Mimulopsis"
"329","Acanthaceae","Mirandea","Mirandea"
"330","Acanthaceae","Monachochlamys","Mendoncia"
"331","Acanthaceae","Monechma","Monechma"
"332","Acanthaceae","Monothecium","Monothecium"
